Send,Receive,diff,Diff 2,time error
2018-10-02T16:57:31.633,2018-10-02T16:57:32.237,0.604,0.604,-0.094 -0.081
2018-10-02T16:57:32.700,2018-10-02T16:57:32.845,0.145,0.145,-0.094 -0.081
2018-10-02T16:57:33.738,2018-10-02T16:57:34.147,0.409,0.409,-0.094 -0.081
2018-10-02T16:57:34.776,2018-10-02T16:57:35.096,0.32,0.32,-0.094 -0.081
2018-10-02T16:57:35.813,2018-10-02T16:57:36.059,0.246,0.246,-0.094 -0.081
2018-10-02T16:57:36.837,2018-10-02T16:57:37.011,0.174,0.174,-0.094 -0.081
2018-10-02T16:57:37.862,2018-10-02T16:57:38.286,0.424,0.424,-0.094 -0.081
2018-10-02T16:57:38.886,2018-10-02T16:57:39.559,0.673,0.673,-0.094 -0.081
2018-10-02T16:57:39.908,2018-10-02T16:57:40.440,0.532,0.532,-0.094 -0.081
2018-10-02T16:57:40.933,2018-10-02T16:57:41.140,0.207,0.207,-0.094 -0.081
2018-10-02T16:57:41.956,2018-10-02T16:57:42.143,0.187,0.187,-0.094 -0.081
2018-10-02T16:57:42.993,2018-10-02T16:57:43.403,0.41,0.41,-0.094 -0.081
2018-10-02T16:57:44.016,2018-10-02T16:57:44.700,0.684,0.684,-0.094 -0.081
2018-10-02T16:57:45.040,2018-10-02T16:57:45.325,0.285,0.285,-0.094 -0.081
2018-10-02T16:57:46.064,2018-10-02T16:57:46.298,0.234,0.234,-0.094 -0.081
2018-10-02T16:57:47.087,2018-10-02T16:57:47.228,0.141,0.141,-0.094 -0.081
2018-10-02T16:57:48.110,2018-10-02T16:57:48.525,0.415,0.415,-0.094 -0.081
2018-10-02T16:57:49.135,2018-10-02T16:57:49.793,0.658,0.658,-0.094 -0.081
2018-10-02T16:57:50.161,2018-10-02T16:57:50.317,0.156,0.156,-0.094 -0.081
2018-10-02T16:57:51.182,2018-10-02T16:57:51.411,0.229,0.229,-0.094 -0.081
2018-10-02T16:57:52.221,2018-10-02T16:57:52.368,0.147,0.147,-0.094 -0.081
2018-10-02T16:57:53.248,2018-10-02T16:57:53.640,0.392,0.392,-0.094 -0.081
2018-10-02T16:57:54.272,2018-10-02T16:57:54.625,0.353,0.353,-0.094 -0.081
2018-10-02T16:57:55.306,2018-10-02T16:57:55.565,0.259,0.259,-0.094 -0.081
2018-10-02T16:57:56.331,2018-10-02T16:57:56.538,0.207,0.207,-0.094 -0.081
2018-10-02T16:57:57.353,2018-10-02T16:57:57.817,0.464,0.464,-0.094 -0.081
2018-10-02T16:57:58.375,2018-10-02T16:57:58.542,0.167,0.167,-0.094 -0.081
2018-10-02T16:57:59.403,2018-10-02T16:58:00.043,0.64,0.64,-0.094 -0.081
2018-10-02T16:58:00.436,2018-10-02T16:58:00.559,0.123,0.123,-0.094 -0.081
2018-10-02T16:58:01.458,2018-10-02T16:58:01.654,0.196,0.196,-0.094 -0.081
2018-10-02T16:58:02.482,2018-10-02T16:58:02.937,0.455,0.455,-0.094 -0.081
2018-10-02T16:58:03.508,2018-10-02T16:58:03.888,0.38,0.38,-0.094 -0.081
2018-10-02T16:58:04.534,2018-10-02T16:58:04.859,0.325,0.325,-0.094 -0.081
2018-10-02T16:58:05.557,2018-10-02T16:58:05.800,0.243,0.243,-0.094 -0.081
2018-10-02T16:58:06.580,2018-10-02T16:58:07.080,0.5,0.5,-0.094 -0.081
2018-10-02T16:58:07.602,2018-10-02T16:58:08.034,0.432,0.432,-0.094 -0.081
2018-10-02T16:58:08.640,2018-10-02T16:58:09.020,0.38,0.38,-0.094 -0.081
2018-10-02T16:58:09.662,2018-10-02T16:58:09.963,0.301,0.301,-0.094 -0.081
2018-10-02T16:58:10.686,2018-10-02T16:58:10.925,0.239,0.239,-0.094 -0.081
2018-10-02T16:58:11.713,2018-10-02T16:58:11.878,0.165,0.165,-0.094 -0.081
2018-10-02T16:58:12.735,2018-10-02T16:58:13.175,0.44,0.44,-0.094 -0.081
2018-10-02T16:58:13.771,2018-10-02T16:58:14.116,0.345,0.345,-0.094 -0.081
2018-10-02T16:58:14.808,2018-10-02T16:58:15.091,0.283,0.283,-0.094 -0.081
2018-10-02T16:58:15.941,2018-10-02T16:58:16.367,0.426,0.426,-0.094 -0.081
2018-10-02T16:58:16.969,2018-10-02T16:58:17.341,0.372,0.372,-0.094 -0.081
2018-10-02T16:58:18.003,2018-10-02T16:58:18.287,0.284,0.284,-0.094 -0.081
2018-10-02T16:58:19.041,2018-10-02T16:58:19.249,0.208,0.208,-0.094 -0.081
2018-10-02T16:58:20.092,2018-10-02T16:58:20.532,0.44,0.44,-0.094 -0.081
2018-10-02T16:58:21.126,2018-10-02T16:58:21.494,0.368,0.368,-0.094 -0.081
2018-10-02T16:58:22.155,2018-10-02T16:58:22.763,0.608,0.608,-0.094 -0.081
2018-10-02T16:58:23.195,2018-10-02T16:58:23.331,0.136,0.136,-0.094 -0.081
2018-10-02T16:58:24.219,2018-10-02T16:58:24.357,0.138,0.138,-0.094 -0.081
2018-10-02T16:58:25.243,2018-10-02T16:58:25.666,0.423,0.423,-0.094 -0.081
2018-10-02T16:58:26.265,2018-10-02T16:58:26.597,0.332,0.332,-0.094 -0.081
2018-10-02T16:58:27.302,2018-10-02T16:58:27.579,0.277,0.277,-0.094 -0.081
2018-10-02T16:58:28.328,2018-10-02T16:58:28.838,0.51,0.51,-0.094 -0.081
2018-10-02T16:58:29.361,2018-10-02T16:58:29.483,0.122,0.122,-0.094 -0.081
2018-10-02T16:58:30.385,2018-10-02T16:58:30.771,0.386,0.386,-0.094 -0.081
2018-10-02T16:58:31.412,2018-10-02T16:58:31.759,0.347,0.347,-0.094 -0.081
2018-10-02T16:58:32.442,2018-10-02T16:58:32.685,0.243,0.243,-0.094 -0.081
2018-10-02T16:58:33.480,2018-10-02T16:58:33.970,0.49,0.49,-0.094 -0.081
2018-10-02T16:58:34.557,2018-10-02T16:58:34.917,0.36,0.36,-0.094 -0.081
2018-10-02T16:58:35.584,2018-10-02T16:58:35.902,0.318,0.318,-0.094 -0.081
2018-10-02T16:58:36.620,2018-10-02T16:58:37.154,0.534,0.534,-0.094 -0.081
2018-10-02T16:58:37.646,2018-10-02T16:58:37.815,0.169,0.169,-0.094 -0.081
2018-10-02T16:58:38.682,2018-10-02T16:58:39.070,0.388,0.388,-0.094 -0.081
2018-10-02T16:58:39.741,2018-10-02T16:58:40.061,0.32,0.32,-0.094 -0.081
2018-10-02T16:58:40.764,2018-10-02T16:58:41.007,0.243,0.243,-0.094 -0.081
2018-10-02T16:58:41.799,2018-10-02T16:58:42.021,0.222,0.222,-0.094 -0.081
2018-10-02T16:58:42.823,2018-10-02T16:58:42.950,0.127,0.127,-0.094 -0.081
2018-10-02T16:58:43.850,2018-10-02T16:58:44.218,0.368,0.368,-0.094 -0.081
2018-10-02T16:58:44.874,2018-10-02T16:58:45.169,0.295,0.295,-0.094 -0.081
2018-10-02T16:58:45.901,2018-10-02T16:58:46.147,0.246,0.246,-0.094 -0.081
2018-10-02T16:58:46.926,2018-10-02T16:58:47.079,0.153,0.153,-0.094 -0.081
2018-10-02T16:58:47.954,2018-10-02T16:58:48.380,0.426,0.426,-0.094 -0.081
2018-10-02T16:58:48.987,2018-10-02T16:58:49.321,0.334,0.334,-0.094 -0.081
2018-10-02T16:58:50.032,2018-10-02T16:58:50.299,0.267,0.267,-0.094 -0.081
2018-10-02T16:58:51.102,2018-10-02T16:58:51.565,0.463,0.463,-0.094 -0.081
2018-10-02T16:58:52.136,2018-10-02T16:58:52.545,0.409,0.409,-0.094 -0.081
2018-10-02T16:58:53.166,2018-10-02T16:58:53.481,0.315,0.315,-0.094 -0.081
2018-10-02T16:58:54.193,2018-10-02T16:58:54.459,0.266,0.266,-0.094 -0.081
2018-10-02T16:58:55.235,2018-10-02T16:58:56.059,0.824,0.824,-0.094 -0.081
2018-10-02T16:58:56.257,2018-10-02T16:58:56.430,0.173,0.173,-0.094 -0.081
2018-10-02T16:58:57.296,2018-10-02T16:58:57.641,0.345,0.345,-0.094 -0.081
2018-10-02T16:58:58.324,2018-10-02T16:58:58.620,0.296,0.296,-0.094 -0.081
2018-10-02T16:58:59.351,2018-10-02T16:58:59.563,0.212,0.212,-0.094 -0.081
2018-10-02T16:59:00.378,2018-10-02T16:59:00.541,0.163,0.163,-0.094 -0.081
2018-10-02T16:59:01.404,2018-10-02T16:59:01.808,0.404,0.404,-0.094 -0.081
2018-10-02T16:59:02.432,2018-10-02T16:59:02.783,0.351,0.351,-0.094 -0.081
2018-10-02T16:59:03.457,2018-10-02T16:59:03.729,0.272,0.272,-0.094 -0.081
2018-10-02T16:59:04.489,2018-10-02T16:59:04.701,0.212,0.212,-0.094 -0.081
2018-10-02T16:59:05.513,2018-10-02T16:59:05.637,0.124,0.124,-0.094 -0.081
2018-10-02T16:59:06.534,2018-10-02T16:59:06.957,0.423,0.423,-0.094 -0.081
2018-10-02T16:59:07.557,2018-10-02T16:59:07.875,0.318,0.318,-0.094 -0.081
2018-10-02T16:59:08.581,2018-10-02T16:59:08.861,0.28,0.28,-0.094 -0.081
2018-10-02T16:59:09.606,2018-10-02T16:59:09.811,0.205,0.205,-0.094 -0.081
2018-10-02T16:59:10.632,2018-10-02T16:59:10.763,0.131,0.131,-0.094 -0.081
2018-10-02T16:59:11.658,2018-10-02T16:59:12.042,0.384,0.384,-0.094 -0.081
2018-10-02T16:59:12.683,2018-10-02T16:59:13.031,0.348,0.348,-0.094 -0.081
2018-10-02T16:59:13.710,2018-10-02T16:59:14.279,0.569,0.569,-0.094 -0.081
2018-10-02T16:59:14.742,2018-10-02T16:59:15.263,0.521,0.521,-0.094 -0.081
2018-10-02T16:59:15.800,2018-10-02T16:59:16.203,0.403,0.403,-0.094 -0.081
2018-10-02T16:59:16.822,2018-10-02T16:59:17.018,0.196,0.196,-0.094 -0.081
2018-10-02T16:59:17.848,2018-10-02T16:59:18.119,0.271,0.271,-0.094 -0.081
2018-10-02T16:59:18.886,2018-10-02T16:59:19.109,0.223,0.223,-0.094 -0.081
2018-10-02T16:59:19.914,2018-10-02T16:59:20.034,0.12,0.12,-0.094 -0.081
2018-10-02T16:59:20.939,2018-10-02T16:59:21.320,0.381,0.381,-0.094 -0.081
2018-10-02T16:59:21.961,2018-10-02T16:59:22.280,0.319,0.319,-0.094 -0.081
2018-10-02T16:59:22.985,2018-10-02T16:59:23.256,0.271,0.271,-0.094 -0.081
2018-10-02T16:59:24.013,2018-10-02T16:59:24.197,0.184,0.184,-0.094 -0.081
2018-10-02T16:59:25.040,2018-10-02T16:59:25.183,0.143,0.143,-0.094 -0.081
2018-10-02T16:59:26.068,2018-10-02T16:59:26.438,0.37,0.37,-0.094 -0.081
2018-10-02T16:59:27.098,2018-10-02T16:59:27.437,0.339,0.339,-0.094 -0.081
2018-10-02T16:59:28.121,2018-10-02T16:59:28.355,0.234,0.234,-0.094 -0.081
2018-10-02T16:59:29.143,2018-10-02T16:59:29.669,0.526,0.526,-0.094 -0.081
2018-10-02T16:59:30.170,2018-10-02T16:59:30.615,0.445,0.445,-0.094 -0.081
2018-10-02T16:59:31.194,2018-10-02T16:59:31.343,0.149,0.149,-0.094 -0.081
2018-10-02T16:59:32.221,2018-10-02T16:59:32.526,0.305,0.305,-0.094 -0.081
2018-10-02T16:59:33.270,2018-10-02T16:59:33.491,0.221,0.221,-0.094 -0.081
2018-10-02T16:59:34.295,2018-10-02T16:59:34.423,0.128,0.128,-0.094 -0.081
2018-10-02T16:59:35.326,2018-10-02T16:59:35.748,0.422,0.422,-0.094 -0.081
2018-10-02T16:59:36.355,2018-10-02T16:59:37.005,0.65,0.65,-0.094 -0.081
2018-10-02T16:59:37.382,2018-10-02T16:59:37.525,0.143,0.143,-0.094 -0.081
2018-10-02T16:59:38.405,2018-10-02T16:59:38.603,0.198,0.198,-0.094 -0.081
2018-10-02T16:59:39.433,2018-10-02T16:59:39.565,0.132,0.132,-0.094 -0.081
2018-10-02T16:59:40.457,2018-10-02T16:59:40.836,0.379,0.379,-0.094 -0.081
2018-10-02T16:59:41.482,2018-10-02T16:59:41.812,0.33,0.33,-0.094 -0.081
2018-10-02T16:59:42.506,2018-10-02T16:59:42.769,0.263,0.263,-0.094 -0.081
2018-10-02T16:59:43.529,2018-10-02T16:59:43.757,0.228,0.228,-0.094 -0.081
2018-10-02T16:59:44.552,2018-10-02T16:59:45.331,0.779,0.779,-0.094 -0.081
2018-10-02T16:59:45.586,2018-10-02T16:59:45.723,0.137,0.137,-0.094 -0.081
2018-10-02T16:59:46.611,2018-10-02T16:59:46.921,0.31,0.31,-0.094 -0.081
2018-10-02T16:59:47.635,2018-10-02T16:59:47.889,0.254,0.254,-0.094 -0.081
2018-10-02T16:59:48.661,2018-10-02T16:59:48.849,0.188,0.188,-0.094 -0.081
2018-10-02T16:59:49.694,2018-10-02T16:59:50.144,0.45,0.45,-0.094 -0.081
2018-10-02T16:59:50.726,2018-10-02T16:59:51.078,0.352,0.352,-0.094 -0.081
2018-10-02T16:59:51.755,2018-10-02T16:59:52.369,0.614,0.614,-0.094 -0.081
2018-10-02T16:59:52.779,2018-10-02T16:59:53.002,0.223,0.223,-0.094 -0.081
2018-10-02T16:59:53.805,2018-10-02T16:59:53.969,0.164,0.164,-0.094 -0.081
2018-10-02T16:59:54.830,2018-10-02T16:59:55.249,0.419,0.419,-0.094 -0.081
2018-10-02T16:59:55.854,2018-10-02T16:59:56.231,0.377,0.377,-0.094 -0.081
2018-10-02T16:59:56.886,2018-10-02T16:59:57.149,0.263,0.263,-0.094 -0.081
2018-10-02T16:59:57.918,2018-10-02T16:59:58.130,0.212,0.212,-0.094 -0.081
2018-10-02T16:59:58.946,2018-10-02T16:59:59.083,0.137,0.137,-0.094 -0.081
2018-10-02T16:59:59.971,2018-10-02T17:00:00.699,0.728,0.728,-0.094 -0.081
2018-10-02T17:00:01.031,2018-10-02T17:00:01.337,0.306,0.306,-0.094 -0.081
2018-10-02T17:00:02.055,2018-10-02T17:00:02.300,0.245,0.245,-0.094 -0.081
2018-10-02T17:00:03.087,2018-10-02T17:00:03.240,0.153,0.153,-0.094 -0.081
2018-10-02T17:00:04.112,2018-10-02T17:00:04.303,0.191,0.191,-0.094 -0.081
2018-10-02T17:00:05.140,2018-10-02T17:00:05.490,0.35,0.35,-0.094 -0.081
2018-10-02T17:00:06.166,2018-10-02T17:00:06.448,0.282,0.282,-0.094 -0.081
2018-10-02T17:00:07.192,2018-10-02T17:00:07.413,0.221,0.221,-0.094 -0.081
2018-10-02T17:00:08.218,2018-10-02T17:00:08.381,0.163,0.163,-0.094 -0.081
2018-10-02T17:00:09.241,2018-10-02T17:00:09.658,0.417,0.417,-0.094 -0.081
2018-10-02T17:00:10.267,2018-10-02T17:00:10.490,0.223,0.223,-0.094 -0.081
2018-10-02T17:00:11.307,2018-10-02T17:00:11.474,0.167,0.167,-0.094 -0.081
2018-10-02T17:00:12.338,2018-10-02T17:00:12.476,0.138,0.138,-0.094 -0.081
2018-10-02T17:00:13.379,2018-10-02T17:00:13.796,0.417,0.417,-0.094 -0.081
2018-10-02T17:00:14.403,2018-10-02T17:00:14.753,0.35,0.35,-0.094 -0.081
2018-10-02T17:00:15.431,2018-10-02T17:00:15.717,0.286,0.286,-0.094 -0.081
2018-10-02T17:00:16.454,2018-10-02T17:00:16.666,0.212,0.212,-0.094 -0.081
2018-10-02T17:00:17.478,2018-10-02T17:00:17.955,0.477,0.477,-0.094 -0.081
2018-10-02T17:00:18.506,2018-10-02T17:00:18.911,0.405,0.405,-0.094 -0.081
2018-10-02T17:00:19.535,2018-10-02T17:00:19.889,0.354,0.354,-0.094 -0.081
2018-10-02T17:00:20.571,2018-10-02T17:00:20.852,0.281,0.281,-0.094 -0.081
2018-10-02T17:00:21.598,2018-10-02T17:00:21.821,0.223,0.223,-0.094 -0.081
2018-10-02T17:00:22.639,2018-10-02T17:00:22.758,0.119,0.119,-0.094 -0.081
2018-10-02T17:00:23.663,2018-10-02T17:00:24.036,0.373,0.373,-0.094 -0.081
2018-10-02T17:00:24.691,2018-10-02T17:00:24.990,0.299,0.299,-0.094 -0.081
2018-10-02T17:00:25.717,2018-10-02T17:00:25.972,0.255,0.255,-0.094 -0.081
2018-10-02T17:00:26.745,2018-10-02T17:00:26.925,0.18,0.18,-0.094 -0.081
2018-10-02T17:00:27.772,2018-10-02T17:00:28.225,0.453,0.453,-0.094 -0.081
2018-10-02T17:00:28.799,2018-10-02T17:00:29.162,0.363,0.363,-0.094 -0.081
2018-10-02T17:00:29.825,2018-10-02T17:00:30.136,0.311,0.311,-0.094 -0.081
2018-10-02T17:00:30.860,2018-10-02T17:00:31.411,0.551,0.551,-0.094 -0.081
2018-10-02T17:00:31.886,2018-10-02T17:00:32.064,0.178,0.178,-0.094 -0.081
2018-10-02T17:00:32.912,2018-10-02T17:00:33.336,0.424,0.424,-0.094 -0.081
2018-10-02T17:00:33.939,2018-10-02T17:00:34.053,0.114,0.114,-0.094 -0.081
2018-10-02T17:00:34.964,2018-10-02T17:00:35.237,0.273,0.273,-0.094 -0.081
2018-10-02T17:00:35.996,2018-10-02T17:00:36.205,0.209,0.209,-0.094 -0.081
2018-10-02T17:00:37.021,2018-10-02T17:00:37.166,0.145,0.145,-0.094 -0.081
2018-10-02T17:00:38.044,2018-10-02T17:00:38.466,0.422,0.422,-0.094 -0.081
2018-10-02T17:00:39.067,2018-10-02T17:00:39.180,0.113,0.113,-0.094 -0.081
2018-10-02T17:00:40.092,2018-10-02T17:00:40.371,0.279,0.279,-0.094 -0.081
2018-10-02T17:00:41.120,2018-10-02T17:00:41.329,0.209,0.209,-0.094 -0.081
2018-10-02T17:00:42.145,2018-10-02T17:00:42.626,0.481,0.481,-0.094 -0.081
2018-10-02T17:00:43.169,2018-10-02T17:00:43.617,0.448,0.448,-0.094 -0.081
2018-10-02T17:00:44.199,2018-10-02T17:00:44.538,0.339,0.339,-0.094 -0.081
2018-10-02T17:00:45.227,2018-10-02T17:00:45.478,0.251,0.251,-0.094 -0.081
2018-10-02T17:00:46.252,2018-10-02T17:00:46.759,0.507,0.507,-0.094 -0.081
2018-10-02T17:00:47.279,2018-10-02T17:00:47.405,0.126,0.126,-0.094 -0.081
2018-10-02T17:00:48.309,2018-10-02T17:00:48.691,0.382,0.382,-0.094 -0.081
2018-10-02T17:00:49.335,2018-10-02T17:00:49.961,0.626,0.626,-0.094 -0.081
2018-10-02T17:00:50.361,2018-10-02T17:00:50.558,0.197,0.197,-0.094 -0.081
2018-10-02T17:00:51.386,2018-10-02T17:00:51.555,0.169,0.169,-0.094 -0.081
2018-10-02T17:00:52.411,2018-10-02T17:00:52.878,0.467,0.467,-0.094 -0.081
2018-10-02T17:00:53.496,2018-10-02T17:00:53.805,0.309,0.309,-0.094 -0.081
2018-10-02T17:00:54.520,2018-10-02T17:00:54.780,0.26,0.26,-0.094 -0.081
2018-10-02T17:00:55.549,2018-10-02T17:00:55.723,0.174,0.174,-0.094 -0.081
2018-10-02T17:00:56.577,2018-10-02T17:00:57.024,0.447,0.447,-0.094 -0.081
2018-10-02T17:00:57.606,2018-10-02T17:00:57.954,0.348,0.348,-0.094 -0.081
2018-10-02T17:00:58.675,2018-10-02T17:00:58.921,0.246,0.246,-0.094 -0.081
2018-10-02T17:00:59.700,2018-10-02T17:00:59.876,0.176,0.176,-0.094 -0.081
2018-10-02T17:01:00.759,2018-10-02T17:01:01.189,0.43,0.43,-0.094 -0.081
2018-10-02T17:01:01.783,2018-10-02T17:01:02.120,0.337,0.337,-0.094 -0.081
2018-10-02T17:01:02.823,2018-10-02T17:01:03.426,0.603,0.603,-0.094 -0.081
2018-10-02T17:01:03.850,2018-10-02T17:01:04.030,0.18,0.18,-0.094 -0.081
2018-10-02T17:01:04.882,2018-10-02T17:01:05.020,0.138,0.138,-0.094 -0.081
2018-10-02T17:01:05.907,2018-10-02T17:01:06.281,0.374,0.374,-0.094 -0.081
2018-10-02T17:01:06.933,2018-10-02T17:01:07.259,0.326,0.326,-0.094 -0.081
2018-10-02T17:01:07.958,2018-10-02T17:01:08.201,0.243,0.243,-0.094 -0.081
2018-10-02T17:01:08.982,2018-10-02T17:01:09.169,0.187,0.187,-0.094 -0.081
2018-10-02T17:01:10.007,2018-10-02T17:01:10.446,0.439,0.439,-0.094 -0.081
2018-10-02T17:01:11.030,2018-10-02T17:01:11.415,0.385,0.385,-0.094 -0.081
2018-10-02T17:01:12.055,2018-10-02T17:01:12.353,0.298,0.298,-0.094 -0.081
2018-10-02T17:01:13.081,2018-10-02T17:01:13.337,0.256,0.256,-0.094 -0.081
2018-10-02T17:01:14.107,2018-10-02T17:01:14.273,0.166,0.166,-0.094 -0.081
2018-10-02T17:01:15.133,2018-10-02T17:01:15.589,0.456,0.456,-0.094 -0.081
2018-10-02T17:01:16.158,2018-10-02T17:01:16.270,0.112,0.112,-0.094 -0.081
2018-10-02T17:01:17.181,2018-10-02T17:01:17.493,0.312,0.312,-0.094 -0.081
2018-10-02T17:01:18.203,2018-10-02T17:01:18.440,0.237,0.237,-0.094 -0.081
2018-10-02T17:01:19.240,2018-10-02T17:01:19.413,0.173,0.173,-0.094 -0.081
2018-10-02T17:01:20.266,2018-10-02T17:01:20.686,0.42,0.42,-0.094 -0.081
2018-10-02T17:01:21.291,2018-10-02T17:01:21.427,0.136,0.136,-0.094 -0.081
2018-10-02T17:01:22.317,2018-10-02T17:01:22.939,0.622,0.622,-0.094 -0.081
2018-10-02T17:01:23.346,2018-10-02T17:01:23.525,0.179,0.179,-0.094 -0.081
2018-10-02T17:01:24.370,2018-10-02T17:01:24.856,0.486,0.486,-0.094 -0.081
2018-10-02T17:01:25.395,2018-10-02T17:01:25.584,0.189,0.189,-0.094 -0.081
2018-10-02T17:01:26.421,2018-10-02T17:01:26.786,0.365,0.365,-0.094 -0.081
2018-10-02T17:01:27.445,2018-10-02T17:01:27.737,0.292,0.292,-0.094 -0.081
2018-10-02T17:01:28.471,2018-10-02T17:01:28.689,0.218,0.218,-0.094 -0.081
2018-10-02T17:01:29.501,2018-10-02T17:01:29.663,0.162,0.162,-0.094 -0.081
2018-10-02T17:01:30.528,2018-10-02T17:01:30.932,0.404,0.404,-0.094 -0.081
2018-10-02T17:01:31.557,2018-10-02T17:01:32.233,0.676,0.676,-0.094 -0.081
2018-10-02T17:01:32.583,2018-10-02T17:01:32.853,0.27,0.27,-0.094 -0.081
2018-10-02T17:01:33.607,2018-10-02T17:01:33.829,0.222,0.222,-0.094 -0.081
2018-10-02T17:01:34.634,2018-10-02T17:01:35.094,0.46,0.46,-0.094 -0.081
2018-10-02T17:01:35.658,2018-10-02T17:01:36.069,0.411,0.411,-0.094 -0.081
2018-10-02T17:01:36.683,2018-10-02T17:01:37.004,0.321,0.321,-0.094 -0.081
2018-10-02T17:01:37.709,2018-10-02T17:01:37.984,0.275,0.275,-0.094 -0.081
2018-10-02T17:01:38.736,2018-10-02T17:01:38.927,0.191,0.191,-0.094 -0.081
2018-10-02T17:01:39.762,2018-10-02T17:01:39.969,0.207,0.207,-0.094 -0.081
2018-10-02T17:01:40.787,2018-10-02T17:01:41.164,0.377,0.377,-0.094 -0.081
2018-10-02T17:01:41.813,2018-10-02T17:01:42.140,0.327,0.327,-0.094 -0.081
2018-10-02T17:01:42.837,2018-10-02T17:01:43.072,0.235,0.235,-0.094 -0.081
2018-10-02T17:01:43.862,2018-10-02T17:01:43.963,0.101,0.101,-0.094 -0.081
2018-10-02T17:01:44.885,2018-10-02T17:01:44.993,0.108,0.108,-0.094 -0.081
2018-10-02T17:01:45.912,2018-10-02T17:01:46.283,0.371,0.371,-0.094 -0.081
2018-10-02T17:01:46.936,2018-10-02T17:01:47.578,0.642,0.642,-0.094 -0.081
